tetta M11 M12/M11 M21/M11 M22/M11 M33/M11 M34/M11 M43/M11 M44/M11
0.25 1.70183e+007 -5.87352e-005 -5.87356e-005 0.98774 0.987669 0.000269029 -0.000269029 0.977626
1 5821.94 -0.0431146 -0.0431146 0.249015 0.20035 0.185396 -0.185396 0.951334
2 3337.07 -0.0430617 -0.0430617 0.369012 0.327226 0.154777 -0.154777 0.958209
3 2511.93 -0.0462442 -0.0462442 0.472148 0.436067 0.128708 -0.128708 0.963905
4 2015.11 -0.0521349 -0.0521349 0.537274 0.504365 0.112057 -0.112057 0.967065
5 1726.69 -0.0592072 -0.0592072 0.5972 0.567082 0.096439 -0.096439 0.969841
6 1557.61 -0.0671449 -0.067145 0.655624 0.628217 0.0806625 -0.0806625 0.972535
7 1364.46 -0.0760891 -0.076089 0.690107 0.663667 0.0711506 -0.0711506 0.973481
8 1280.05 -0.0851793 -0.0851795 0.735676 0.710897 0.0578544 -0.0578545 0.975122
9 1137.58 -0.0948386 -0.0948387 0.760727 0.736053 0.0504689 -0.050469 0.975201
10 1087.45 -0.104258 -0.104258 0.797324 0.773506 0.0388716 -0.0388716 0.976037
11 978.124 -0.114485 -0.114485 0.817762 0.793459 0.0322593 -0.0322593 0.975521
12 947.828 -0.123697 -0.123698 0.846908 0.822725 0.0217413 -0.0217413 0.975621
13 854.792 -0.134061 -0.13406 0.86362 0.838444 0.0157842 -0.0157842 0.974592
14 806.968 -0.143672 -0.143674 0.884011 0.858041 0.00795448 -0.00795449 0.973769
15 789.959 -0.15209 -0.152088 0.905491 0.878756 -0.00199279 0.00199279 0.972984
16 718.57 -0.162412 -0.162412 0.91838 0.889934 -0.00765103 0.00765102 0.971231
17 711.061 -0.170304 -0.170306 0.935682 0.905901 -0.0172544 0.0172544 0.969877
18 649.361 -0.180419 -0.180415 0.946278 0.914329 -0.022711 0.022711 0.967661
19 644.511 -0.186827 -0.186829 0.959273 0.925404 -0.0324853 0.0324853 0.965727
20 592.441 -0.196707 -0.196706 0.965637 0.928722 -0.0372584 0.0372584 0.962628
21 596.683 -0.200895 -0.200897 0.972669 0.933072 -0.0464725 0.0464725 0.959936
22 15206.9 0.0283444 0.0283444 0.999026 0.996805 -0.00180558 0.00180558 0.997758
23 17443.6 0.0313512 0.0313512 0.999024 0.996869 -0.00167703 0.00167703 0.997807
24 13439.7 0.0312072 0.0312073 0.998598 0.995788 -0.00250951 0.00250951 0.997092
25 10558.8 0.0316459 0.0316459 0.998108 0.99466 -0.00318063 0.00318063 0.996354
26 8440.52 0.030902 0.0309019 0.997516 0.993069 -0.00462661 0.00462662 0.995209
27 6778.67 0.0309752 0.0309742 0.996828 0.991433 -0.00582458 0.00582459 0.994058
28 5513.16 0.0292027 0.0292048 0.99602 0.989134 -0.00816218 0.00816216 0.992308
29 4479.51 0.0284686 0.0284664 0.995063 0.986776 -0.00994548 0.00994552 0.990569
30 3692.4 0.024812 0.0248111 0.993965 0.983427 -0.0137773 0.0137773 0.987922
31 3015.65 0.0226364 0.0226382 0.992636 0.980065 -0.0165558 0.0165558 0.985387
32 2494.93 0.0177286 0.0177288 0.991102 0.975639 -0.02149 0.0214899 0.981905
33 2080.31 0.00934835 0.00934838 0.989388 0.969973 -0.0282738 0.0282742 0.977301
34 1712.64 0.00272991 0.00272796 0.98718 0.964137 -0.0338911 0.0338908 0.972867
35 1447.09 -0.0105961 -0.0105947 0.984931 0.956214 -0.044571 0.044571 0.966325
36 1194.84 -0.0227133 -0.0227153 0.981841 0.947855 -0.052883 0.0528831 0.960014
37 1035.12 -0.041855 -0.0418525 0.978716 0.937204 -0.0683113 0.0683115 0.951462
38 858.126 -0.0598536 -0.0598502 0.974417 0.925917 -0.079111 0.0791099 0.943093
39 763.514 -0.0842657 -0.0842623 0.970368 0.912403 -0.0977798 0.0977813 0.932638
40 654.907 -0.104486 -0.104502 0.964466 0.898871 -0.110175 0.110175 0.923445
41 601.219 -0.123948 -0.123943 0.958438 0.885164 -0.124854 0.124853 0.914441
42 570.718 -0.141093 -0.14109 0.953648 0.872065 -0.140654 0.140652 0.905319
43 535.267 -0.145908 -0.145907 0.9462 0.860556 -0.145154 0.145154 0.899697
44 547.499 -0.144656 -0.144657 0.941584 0.852062 -0.1528 0.152798 0.895088
45 540.008 -0.138046 -0.138043 0.933325 0.843248 -0.149602 0.149607 0.892757
46 1277.45 0.0285086 0.0285089 0.96806 0.916337 -0.0674567 0.0674565 0.940458
47 1328.53 0.0443815 0.0443796 0.965649 0.915821 -0.0619038 0.0619026 0.942129
48 1213.99 0.0334895 0.033491 0.956772 0.900729 -0.0736144 0.0736149 0.934547
49 1060.63 0.0266489 0.0266489 0.946862 0.885671 -0.0803365 0.0803347 0.927874
50 959.657 0.0153078 0.0153084 0.935887 0.868317 -0.0906957 0.0907004 0.919882
51 895.417 -0.000314917 -0.00031599 0.92411 0.849253 -0.102892 0.102893 0.91089
52 787.677 -0.0119305 -0.0119279 0.910387 0.829111 -0.11109 0.111077 0.90283
53 739.021 -0.0296729 -0.0296745 0.89831 0.80904 -0.126637 0.126648 0.893289
54 683.41 -0.0406102 -0.0406157 0.880923 0.787704 -0.127334 0.127334 0.886966
55 639.742 -0.0587035 -0.0586983 0.869503 0.767085 -0.146065 0.146063 0.87718
56 589.968 -0.0690369 -0.0690351 0.852308 0.746063 -0.149037 0.14904 0.871204
57 594.709 -0.078958 -0.0789582 0.840075 0.729403 -0.154863 0.154863 0.865791
58 545.786 -0.0863251 -0.0863253 0.824738 0.709844 -0.15921 0.159199 0.860182
